コンビニ名 ,住所,チェーン店舗,LocName,fX,fY,iConf,iLvl
ファミリーマート西本町二丁目店 ,大阪市西区西本町2-5-19 ,ファミリーマート,大阪府/大阪市/西区/西本町/二丁目/５番,135.4897,34.68228,5,7
ファミリーマート信濃橋店 ,大阪市西区靭本町1-11-7信濃橋三井ビルディング ,ファミリーマート,大阪府/大阪市/西区/靱本町/一丁目/１１番,135.49651,34.68413,5,7
ミニストップ北堀江店 ,大阪市西区北堀江2-1-6 ,ミニストップ,大阪府/大阪市/西区/北堀江/二丁目/１番,135.4929,34.67513,5,7
ミニストップ靭公園前店 ,大阪市西区靭本町1-6-14 ,ミニストップ,大阪府/大阪市/西区/靱本町/一丁目/６番,135.49739,34.68574,5,7
ローソン九条二丁目店 ,大阪市西区九条2-3-1 ,ローソン,大阪府/大阪市/西区/九条/二丁目/３番,135.47388,34.67631,5,7
ローソン九条南三丁目店 ,大阪市西区九条南3-28-14 ,ローソン,大阪府/大阪市/西区/九条南/三丁目/２８番,135.46848,34.67366,5,7
ローソンストア100西区京町堀店 ,大阪市西区京町堀3-1-12 ,ローソン,大阪府/大阪市/西区/京町堀/三丁目/１番,135.48828,34.68521,5,7
ローソン京町堀三丁目店 ,大阪市西区京町堀3-2-26-101 ,ローソン,大阪府/大阪市/西区/京町堀/三丁目/２番,135.4884,34.68496,5,7
ローソン北堀江一丁目店 ,大阪市西区北堀江1-17-15 ,ローソン,大阪府/大阪市/西区/北堀江/一丁目/１７番,135.49484,34.67435,5,7
ローソン四ツ橋北堀江店 ,大阪市西区北堀江1-3-7 ,ローソン,大阪府/大阪市/西区/北堀江/一丁目/３番,135.4962,34.6729,5,7
ローソン大阪ドームシティ店 ,大阪市西区千代崎3-1-8 ,ローソン,大阪府/大阪市/西区/千代崎/三丁目/１番,135.47855,34.67155,5,7
ローソンＳＯＳＬドーム前千代崎駅店 ,大阪市西区千代崎3北2-8 ,ローソン,大阪府/大阪市/西区/千代崎/三丁目,135.479261,34.670829,5,8
ローソン西区南堀江一丁目店 ,大阪市西区南堀江1-16-9 ,ローソン,大阪府/大阪市/西区/南堀江/一丁目/１６番,135.49512,34.67075,5,7
ローソン南堀江三丁目店 ,大阪市西区南堀江3-2-16 ,ローソン,大阪府/大阪市/西区/南堀江/三丁目/２番,135.48979,34.67188,5,7
ローソン南堀江四丁目店 ,大阪市西区南堀江4-4-8 ,ローソン,大阪府/大阪市/西区/南堀江/四丁目/４番,135.48605,34.67123,5,7
ローソン西区土佐堀一丁目店 ,大阪市西区土佐堀1-4-14 ,ローソン,大阪府/大阪市/西区/土佐堀/一丁目/４番,135.49286,34.6901,5,7
ローソン境川店 ,大阪市西区境川1-3-6 ,ローソン,大阪府/大阪市/西区/境川/一丁目/３番,135.47137,34.66981,5,7
ローソンストア100西区新町店 ,大阪市西区新町1-32-11 ,ローソン,大阪府/大阪市/西区/新町/一丁目/３２番,135.49384,34.67732,5,7
ローソン大阪厚生年金会館前店 ,大阪市西区新町1-34-5 ,ローソン,大阪府/大阪市/西区/新町/一丁目/３４番,135.49377,34.67854,5,7
ローソン地下鉄四ツ橋駅前店 ,大阪市西区新町1-5-7 ,ローソン,大阪府/大阪市/西区/新町/一丁目/５番,135.49675,34.67526,5,7
ローソン西区新町一丁目店 ,大阪市西区新町1-8-1 ,ローソン,大阪府/大阪市/西区/新町/一丁目/８番,135.49626,34.67696,5,7
ローソンＳＯＳＬ肥後橋駅南店 ,大阪市西区江戸堀1-13-18 ,ローソン,大阪府/大阪市/西区/江戸堀/一丁目/１３番,135.496,34.6918,5,7
ローソンＳＯＳＬ肥後橋駅北店 ,大阪市西区江戸堀1-13-18 ,ローソン,大阪府/大阪市/西区/江戸堀/一丁目/１３番,135.496,34.6918,5,7
ローソン肥後橋駅前店 ,大阪市西区江戸堀1-2-11 ,ローソン,大阪府/大阪市/西区/江戸堀/一丁目/２番,135.49673,34.69192,5,7
ローソン江戸堀一丁目店 ,大阪市西区江戸堀1-7-13 ,ローソン,大阪府/大阪市/西区/江戸堀/一丁目/７番,135.49767,34.68901,5,7
ローソン江戸堀センタービル店 ,大阪市西区江戸堀2-1-1 ,ローソン,大阪府/大阪市/西区/江戸堀/二丁目/１番,135.49112,34.68782,5,7
ローソン立売堀三丁目店 ,大阪市西区立売堀3-3-5 ,ローソン,大阪府/大阪市/西区/立売堀/三丁目/３番,135.49019,34.67957,5,7
ローソン阿波座駅前店 ,大阪市西区立売堀4-2-21 ,ローソン,大阪府/大阪市/西区/立売堀/四丁目/２番,135.48825,34.68064,5,7
ローソンストア100西区立売堀店 ,大阪市西区立売堀5-3-3 ,ローソン,大阪府/大阪市/西区/立売堀/五丁目/３番,135.48602,34.67998,5,7
ローソン西本町一丁目店 ,大阪市西区西本町1-4-1 ,ローソン,大阪府/大阪市/西区/西本町/一丁目/４番,135.49741,34.6825,5,7
ローソンＳＯＳＬ四つ橋本町駅店 ,大阪市西区西本町1-4-10 ,ローソン,大阪府/大阪市/西区/西本町/一丁目/４番,135.49741,34.6825,5,7
